Trading Date,Company1,Company2,Change in C1,Change in C2
1/2/19,53.53,108.97,0.00,0.00
1/3/19,52.56,106.33,-0.97,-2.64
1/4/19,55.13,109.61,2.57,3.28
1/7/19,55.61,110.56,0.48,0.95
1/8/19,55.46,111.42,-0.15,0.86
1/9/19,56.38,112.67,0.92,1.25
1/10/19,56.44,112.80,0.06,0.13
1/11/19,56.69,112.65,0.25,-0.15
1/14/19,58.93,112.42,2.24,-0.23
1/15/19,61.38,111.76,2.45,-0.66
1/16/19,62.19,110.91,0.81,-0.85
1/17/19,62.47,111.01,0.28,0.10
1/18/19,63.12,111.04,0.65,0.03
1/22/19,61.85,110.60,-1.27,-0.44
1/23/19,62.13,111.12,0.28,0.52
1/24/19,62.71,110.55,0.58,-0.57
1/25/19,64.02,111.09,1.31,0.54
1/28/19,63.85,110.81,-0.17,-0.28
1/29/19,63.21,110.90,-0.64,0.09
1/30/19,64.22,110.13,1.01,-0.77
1/31/19,64.46,111.52,0.24,1.39
2/1/19,63.67,111.30,-0.79,-0.22
2/4/19,64.06,111.80,0.39,0.50
2/5/19,63.81,112.66,-0.25,0.86
2/6/19,63.89,111.41,0.08,-1.25
2/7/19,62.81,110.95,-1.08,-0.46
2/8/19,62.01,111.51,-0.80,0.56
2/11/19,61.61,109.44,-0.40,-2.07
2/12/19,62.67,109.20,1.06,-0.24
2/13/19,63.04,110.20,0.37,1.00
2/14/19,62.42,110.66,-0.62,0.46
2/15/19,64.27,112.59,1.85,1.93
2/19/19,64.38,113.51,0.11,0.92
2/20/19,64.64,113.68,0.26,0.17
2/21/19,64.32,114.29,-0.32,0.61
2/22/19,64.14,115.25,-0.18,0.96
2/25/19,64.53,113.59,0.39,-1.66
2/26/19,64.12,113.50,-0.41,-0.09
2/27/19,64.40,112.78,0.28,-0.72
2/28/19,63.98,112.84,-0.42,0.06
3/1/19,64.47,114.01,0.49,1.17
3/4/19,63.75,114.33,-0.72,0.32
3/5/19,62.93,114.00,-0.82,-0.33
3/6/19,62.51,114.85,-0.42,0.85
3/7/19,61.90,114.01,-0.61,-0.84
3/8/19,62.06,113.81,0.16,-0.20
3/11/19,62.31,114.75,0.25,0.94
3/12/19,62.81,114.73,0.50,-0.02
3/13/19,63.65,114.09,0.84,-0.64
3/14/19,64.11,114.48,0.46,0.39
3/15/19,65.19,114.96,1.08,0.48
3/18/19,65.93,113.12,0.74,-1.84
3/19/19,65.63,110.00,-0.30,-3.12
3/20/19,64.30,109.99,-1.33,-0.01
3/21/19,63.91,108.66,-0.39,-1.33
